Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2017-01-04,19298.68,19594.16,19277.93,19594.16,,,,
2017-01-05,19602.1,19615.4,19473.28,19520.69,,,,
2017-01-06,19393.55,19472.37,19354.44,19454.33,,,,
2017-01-10,19414.83,19484.9,19255.35,19301.44,,,,
2017-01-11,19358.64,19402.17,19325.46,19364.67,,,,
2017-01-12,19300.19,19300.19,19069.02,19134.7,,,,
2017-01-13,19174.97,19299.36,19156.93,19287.28,,,,
2017-01-16,19219.13,19255.41,19061.27,19095.24,,,,
2017-01-17,19038.45,19043.91,18812.86,18813.53,,,,
2017-01-18,18753.96,18941.24,18650.33,18894.37,,,,
2017-01-19,19082.83,19122.39,18982.13,19072.25,,,,
2017-01-20,19059.15,19176.86,19040.2,19137.91,,,,
2017-01-23,18938.45,19024.21,18879.68,18891.03,,,,
2017-01-24,18817.42,18915.7,18783.16,18787.99,,,,
2017-01-25,19091.23,19133.18,18987.45,19057.5,,,,
2017-01-26,19260.67,19405.23,19232.46,19402.39,,,,
2017-01-27,19453.51,19486.68,19404.13,19467.4,,,,
2017-01-30,19371.28,19390.97,19295.8,19368.85,,,,
2017-01-31,19145.35,19199.75,19041.34,19041.34,,,,
2017-02-01,18926.97,19155.79,18916.18,19148.08,,,,
2017-02-02,19152.79,19170.63,18866.8,18914.58,,,,
2017-02-03,18996.74,19061.26,18830.89,18918.2,,,,
2017-02-06,19069.72,19075.57,18899.4,18976.71,,,,
2017-02-07,18844.12,18970.58,18805.32,18910.78,,,,
2017-02-08,18951.16,19009.24,18875.57,19007.6,,,,
2017-02-09,18942.04,18991.23,18874.91,18907.67,,,,
2017-02-10,19216.74,19395.99,19193.57,19378.93,,,,
2017-02-13,19513.78,19519.44,19418.18,19459.15,,,,
2017-02-14,19478.86,19501.01,19232.85,19238.98,,,,
2017-02-15,19438.81,19495.62,19420,19437.98,,,,
2017-02-16,19431.61,19431.61,19260.24,19347.53,,,,
2017-02-17,19228.74,19275.39,19173.53,19234.62,,,,
2017-02-20,19161.33,19274.75,19115.11,19251.08,,,,
2017-02-21,19267.87,19395.35,19261.98,19381.44,,,,
2017-02-22,19419.22,19419.22,19329.28,19379.87,,,,
2017-02-23,19379.92,19379.92,19262.63,19371.46,,,,
2017-02-24,19232.11,19381.1,19219.58,19283.54,,,,
2017-02-27,19130.51,19178.99,18995.55,19107.47,,,,
2017-02-28,19194.68,19267.99,19118.99,19118.99,,,,
2017-03-01,19226.94,19414.55,19164.62,19393.54,,,,
2017-03-02,19624.82,19668.01,19564.8,19564.8,,,,
2017-03-03,19551.34,19587.79,19392.75,19469.17,,,,
2017-03-06,19409.18,19411.54,19340.32,19379.14,,,,
2017-03-07,19337.19,19375.09,19317.1,19344.15,,,,
2017-03-08,19308.53,19326.4,19198.78,19254.03,,,,
2017-03-09,19343.06,19350.2,19262.98,19318.58,,,,
2017-03-10,19444.71,19623.72,19427.81,19604.61,,,,
2017-03-13,19545.74,19656.48,19531.51,19633.75,,,,
2017-03-14,19634.29,19637.55,19599.62,19609.5,,,,
2017-03-15,19528.75,19581.53,19503.74,19577.38,,,,
2017-03-16,19458.7,19618.99,19454.17,19590.14,,,,
2017-03-17,19510.89,19547.51,19487.92,19521.59,,,,
2017-03-21,19416.55,19485.14,19337.22,19455.88,,,,
2017-03-22,19146.62,19183.27,19026.53,19041.38,,,,
2017-03-23,19048.84,19105.11,18973.75,19085.31,,,,
2017-03-24,19066.35,19296.05,19060.64,19262.53,,,,
2017-03-27,19071.19,19086.89,18932.09,18985.59,,,,
2017-03-28,19159.07,19203.64,19113.44,19202.87,,,,
2017-03-29,19216.78,19251.3,19164.61,19217.48,,,,
